"","state","code","pop_2014","date","fips","cases","deaths"
"44944","South Carolina","SC",4832482,"2021-03-20",45,540390,8977
"44945","South Carolina","SC",4832482,"2020-12-29",45,300602,5198
"44946","South Carolina","SC",4832482,"2022-08-05",45,1621121,18208
"44947","South Carolina","SC",4832482,"2021-11-22",45,913950,14128
"44948","South Carolina","SC",4832482,"2020-04-19",45,4377,120
"44949","South Carolina","SC",4832482,"2020-07-09",45,50691,905
"44950","South Carolina","SC",4832482,"2022-10-18",45,1718600,18527
"44951","South Carolina","SC",4832482,"2021-10-04",45,867315,12702
"44952","South Carolina","SC",4832482,"2022-06-17",45,1524771,17995
"44953","South Carolina","SC",4832482,"2021-12-08",45,926454,14334
"44954","South Carolina","SC",4832482,"2021-05-10",45,584932,9596
"44955","South Carolina","SC",4832482,"2021-10-12",45,879985,13056
"44956","South Carolina","SC",4832482,"2023-02-12",45,1818546,19820
"44957","South Carolina","SC",4832482,"2021-06-15",45,595285,9790
"44958","South Carolina","SC",4832482,"2021-08-02",45,623947,9915
"44959","South Carolina","SC",4832482,"2021-02-24",45,509044,8398
"44960","South Carolina","SC",4832482,"2021-10-28",45,895738,13670
"44961","South Carolina","SC",4832482,"2022-11-16",45,1732287,19250
"44962","South Carolina","SC",4832482,"2021-08-16",45,667352,10108
"44963","South Carolina","SC",4832482,"2021-11-18",45,910690,14078
"44964","South Carolina","SC",4832482,"2020-06-12",45,17170,593
"44965","South Carolina","SC",4832482,"2021-04-04",45,555274,9196
"44966","South Carolina","SC",4832482,"2021-09-16",45,814254,11532
"44967","South Carolina","SC",4832482,"2022-12-07",45,1745166,19306
"44968","South Carolina","SC",4832482,"2020-12-11",45,245226,4673
"44969","South Carolina","SC",4832482,"2021-03-22",45,542203,9027
"44970","South Carolina","SC",4832482,"2022-09-20",45,1703439,18331
"44971","South Carolina","SC",4832482,"2021-01-25",45,421417,6552
"44972","South Carolina","SC",4832482,"2021-12-12",45,929077,14375
"44973","South Carolina","SC",4832482,"2020-12-03",45,223063,4466
"44974","South Carolina","SC",4832482,"2022-09-23",45,1703439,18331
"44975","South Carolina","SC",4832482,"2022-08-28",45,1661020,18245
"44976","South Carolina","SC",4832482,"2020-12-14",45,254776,4751
"44977","South Carolina","SC",4832482,"2022-10-27",45,1721693,18578
"44978","South Carolina","SC",4832482,"2021-12-07",45,925629,14318
"44979","South Carolina","SC",4832482,"2022-10-09",45,1712281,18390
"44980","South Carolina","SC",4832482,"2020-05-14",45,8189,371
"44981","South Carolina","SC",4832482,"2021-07-12",45,600027,9856
"44982","South Carolina","SC",4832482,"2022-12-08",45,1745166,19328
"44983","South Carolina","SC",4832482,"2022-09-13",45,1696746,18316
"44984","South Carolina","SC",4832482,"2021-08-18",45,673172,10140
"44985","South Carolina","SC",4832482,"2022-01-31",45,1385019,15480
"44986","South Carolina","SC",4832482,"2022-05-13",45,1481646,17869
"44987","South Carolina","SC",4832482,"2022-06-19",45,1524771,17995
"44988","South Carolina","SC",4832482,"2022-08-08",45,1621121,18208
"44989","South Carolina","SC",4832482,"2020-11-17",45,197900,4156
"44990","South Carolina","SC",4832482,"2021-09-15",45,809779,11483
"44991","South Carolina","SC",4832482,"2022-10-28",45,1721693,18578
"44992","South Carolina","SC",4832482,"2022-08-24",45,1661020,18245
"44993","South Carolina","SC",4832482,"2021-03-26",45,546670,9092
"44994","South Carolina","SC",4832482,"2021-02-18",45,495044,8155
"44995","South Carolina","SC",4832482,"2022-12-01",45,1738379,19274
"44996","South Carolina","SC",4832482,"2021-03-15",45,534188,8878
"44997","South Carolina","SC",4832482,"2021-10-17",45,883982,13232
"44998","South Carolina","SC",4832482,"2022-04-10",45,1469706,17650
"44999","South Carolina","SC",4832482,"2022-10-31",45,1721693,18578
"45000","South Carolina","SC",4832482,"2021-09-13",45,802328,11306
"45001","South Carolina","SC",4832482,"2022-01-22",45,1265710,15108
"45002","South Carolina","SC",4832482,"2021-02-21",45,504149,8324
